Date,AAPL
2024-01-30,188.0400
2024-01-29,191.7300
2024-01-26,192.4200
2024-01-25,194.1700
2024-01-24,194.5000
2024-01-23,195.1800
2024-01-22,193.8900
2024-01-19,191.5600
2024-01-18,188.6300
2024-01-17,182.6800
2024-01-16,183.6300
2024-01-12,185.9200
2024-01-11,185.5900
2024-01-10,186.1900
2024-01-09,185.1400
2024-01-08,185.5600
2024-01-05,181.1800
2024-01-04,181.9100
2024-01-03,184.2500
2024-01-02,185.6400
2023-12-29,192.5300
2023-12-28,193.5800
2023-12-27,193.1500
2023-12-26,193.0500
2023-12-22,193.6000
2023-12-21,194.6800
2023-12-20,194.8300
2023-12-19,196.9400
2023-12-18,195.8900
2023-12-15,197.5700
2023-12-14,198.1100
2023-12-13,197.9600
2023-12-12,194.7100
2023-12-11,193.1800
2023-12-08,195.7100
2023-12-07,194.2700
2023-12-06,192.3200
2023-12-05,193.4200
2023-12-04,189.4300
2023-12-01,191.2400
2023-11-30,189.9500
2023-11-29,189.3700
2023-11-28,190.4000
2023-11-27,189.7900
2023-11-24,189.9700
2023-11-22,191.3100
2023-11-21,190.6400
2023-11-20,191.4500
2023-11-17,189.6900
2023-11-16,189.7100
2023-11-15,188.0100
2023-11-14,187.4400
2023-11-13,184.8000
2023-11-10,186.4000
2023-11-09,182.4100
2023-11-08,182.8900
2023-11-07,181.8200
2023-11-06,179.2300
2023-11-03,176.6500
2023-11-02,177.5700
2023-11-01,173.9700
2023-10-31,170.7700
2023-10-30,170.2900
2023-10-27,168.2200
2023-10-26,166.8900
2023-10-25,171.1000
2023-10-24,173.4400
2023-10-23,173.0000
2023-10-20,172.8800
2023-10-19,175.4600
2023-10-18,175.8400
2023-10-17,177.1500
2023-10-16,178.7200
2023-10-13,178.8500
2023-10-12,180.7100
2023-10-11,179.8000
2023-10-10,178.3900
2023-10-09,178.9900
2023-10-06,177.4900
2023-10-05,174.9100
2023-10-04,173.6600
2023-10-03,172.4000
2023-10-02,173.7500
2023-09-29,171.2100
2023-09-28,170.6900
2023-09-27,170.4300
2023-09-26,171.9600
2023-09-25,176.0800
2023-09-22,174.7900
2023-09-21,173.9300
2023-09-20,175.4900
2023-09-19,179.0700
2023-09-18,177.9700
2023-09-15,175.0100
2023-09-14,175.7400
2023-09-13,174.2100
2023-09-12,176.3000
2023-09-11,179.3600
2023-09-08,178.1800
2023-09-07,177.5600
2023-09-06,182.9100
2023-09-05,189.7000
2023-09-01,189.4600
2023-08-31,187.8700
2023-08-30,187.6500
2023-08-29,184.1200
2023-08-28,180.1900
2023-08-25,178.6100
2023-08-24,176.3800
2023-08-23,181.1200
2023-08-22,177.2300
2023-08-21,175.8400
2023-08-18,174.4900
2023-08-17,174.0000
2023-08-16,176.5700
2023-08-15,177.4500
2023-08-14,179.4600
2023-08-11,177.7900
2023-08-10,177.9700
2023-08-09,178.1900
2023-08-08,179.8000
2023-08-07,178.8500
2023-08-04,181.9900
2023-08-03,191.1700
2023-08-02,192.5800
2023-08-01,195.6050
2023-07-31,196.4500
2023-07-28,195.8300
2023-07-27,193.2200
2023-07-26,194.5000
2023-07-25,193.6200
2023-07-24,192.7500
2023-07-21,191.9400
2023-07-20,193.1300
2023-07-19,195.1000
2023-07-18,193.7300
2023-07-17,193.9900
2023-07-14,190.6900
2023-07-13,190.5400
2023-07-12,189.7700
2023-07-11,188.0800
2023-07-10,188.6100
2023-07-07,190.6800
2023-07-06,191.8100
2023-07-05,191.3300
2023-07-03,192.4600
2023-06-30,193.9700
2023-06-29,189.5900
2023-06-28,189.2500
2023-06-27,188.0600
2023-06-26,185.2700
2023-06-23,186.6800
2023-06-22,187.0000
2023-06-21,183.9600
2023-06-20,185.0100
2023-06-16,184.9200
2023-06-15,186.0100
2023-06-14,183.9500
2023-06-13,183.3100
2023-06-12,183.7900
2023-06-09,180.9600
2023-06-08,180.5700
2023-06-07,177.8200
2023-06-06,179.2100
2023-06-05,179.5800
2023-06-02,180.9500
2023-06-01,180.0900
2023-05-31,177.2500
2023-05-30,177.3000
2023-05-26,175.4300
2023-05-25,172.9900
2023-05-24,171.8400
2023-05-23,171.5600
2023-05-22,174.2000
2023-05-19,175.1600
2023-05-18,175.0500
2023-05-17,172.6900
2023-05-16,172.0700
2023-05-15,172.0700
2023-05-12,172.5700
2023-05-11,173.7500
2023-05-10,173.5550
2023-05-09,171.7700
2023-05-08,173.5000
2023-05-05,173.5700
2023-05-04,165.7900
2023-05-03,167.4500
2023-05-02,168.5400
2023-05-01,169.5900
2023-04-28,169.6800
2023-04-27,168.4100
2023-04-26,163.7600
2023-04-25,163.7700
2023-04-24,165.3300
2023-04-21,165.0200
2023-04-20,166.6500
2023-04-19,167.6300
2023-04-18,166.4700
2023-04-17,165.2300
2023-04-14,165.2100
