top - 18:26:58 up 24 min,  0 users,  load average: 0.00, 0.10, 0.12
Tasks: 122 total,   1 running,  83 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.3 sy,  0.0 ni, 90.4 id,  0.8 wa,  0.0 hi,  0.0 si
KiB Mem :  2028188 total,  1720580 free,   148508 used,   159100 buff/
KiB Swap:   499996 total,   334700 free,   165296 used.  1735164 avail

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+
    1 root      20   0  159644   4584   3736 S  0.0  0.2   0:03.75
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00
    3 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
    4 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
    5 root      20   0       0      0      0 I  0.0  0.0   0:00.16
    6 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
    8 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
    9 root      20   0       0      0      0 S  0.0  0.0   0:00.16
   10 root      20   0       0      0      0 I  0.0  0.0   0:00.66
   11 root      rt   0       0      0      0 S  0.0  0.0   0:00.00
   13 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   14 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   15 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   16 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   17 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   18 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   19 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   20 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   21 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   22 root      25   5       0      0      0 S  0.0  0.0   0:00.00
   23 root      39  19       0      0      0 S  0.0  0.0   0:00.00
   69 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   70 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   71 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   72 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   73 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   74 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   75 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   76 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   77 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   78 root      rt   0       0      0      0 S  0.0  0.0   0:00.00
   79 root      20   0       0      0      0 I  0.0  0.0   0:02.50
   81 root      20   0       0      0      0 S  0.0  0.0   0:00.74
   82 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   84 root       0 -20       0      0      0 I  0.0  0.0   0:00.00
   85 root      20   0       0      0      0 S  0.0  0.0   0:00.00
   86 root      20   0       0      0      0 S  0.0  0.0   0:00.01
